quechua,spanish
"manan wawqey ,  nitaq panaypas kanchu",no tengo hermano ni hermana
ichhu pichanaqa tukurakapunmi,la escoba de paja se ha terminado
apuraylla chay karu llaqtamanta kutimunki,regresas rapido de ese puelo lejano
panchoqa mamantan llakichin,pancho causa tristezasu mamá
toqro umaykiqa manan imatapas yuyanchu,tú cabeza hueca no se acuerda de nada
sikiypin pikiqa kaniruwaran,la pulga me picó en las posaderas
kaypi wasikunaqa munaychakunan,las casas son muy bonitas en este lugar
alqolla llapan kisuta mikhurqakapusqa,el perro se había comido todo el queso
makiypi k'irichayqa ña k'illayashanña,la herida de mi mano ya está cicatrizando
manan allin warmakunaqa manan rikraypi ninriypi t'ispipayawaytaqa saqenkuchu,los niños malos no dejan de pellizcarme en los brazosen las orejas
manan ch'ulla runallapas haykunchu,no cabía ni una persona más
huk suwan wasimasiyta qatimusqa,un ladron le habia seguidomi vecino
"sapa kuti ,  manan pipas ima pasaymantapas ayqekunchu","pocopoco ,  nadie estásalvo del riesgo cotidiano de accidentes"
phiñakuyninwanmi taytaqa ususinta waqachin,el padre hace llorarsu hija con su furia
ch'uspichan wawaypa makichanta kaniramusqa,la mosquita le había picado la mano de mi hijo
kaqniyuq runakunaqa mana kaqniyuqkunatan saruchakuranku,los adinerados siempre humillaronlos pobres
alqoypas chirimanta k'uytuykun,mi perro por el frío se ha encogido
ancha anyapayasqa warmakunaqa nishutan k'ulluyarapunku,los niños frecuentemente reprendidos se vuelven curtidos
k'urkur sach'aqa soqosmanta aswan allinmi,la caña de curcur es más consistente que el carrizo
k'urpakunata huñusun oqata wayk´unapaq,juntemos terroncitos secos para asar las ocas
muk´i p'achawan churakusqaymi chaka tulluykunata nanarachiwan,me duelen los huesos de la pierna por haberme acostado con la ropa húmeda
kay sara apiqa ancha pipun kashan,esta mazamorra de maíz está muy espesa
runakunaqa chinlinyaq alakhakunawanmi tusunku,las personas danzan con cascabeles
chay wawaqa ancha yachaysapan,esa criatura tiene muchos conocimientos
ñandumanqa manan uywapi p'itaspaspas aypasunchismanchu,al ñandú no le podemos dar alcance ni corriendocaballo
bolivia mama llaqtapiqa chayanta qhuyakunapi runaqa llank'an͘,en las minas de estaño de bolivia trabajan muchas personas
unchuchukuqa mana rikuchikuspallan runakunata qhawan,la comadreja observalas personas sin ser visto
¿ pitaq kay t'ikakunata t´iraran ?,¿ quién arrancó esas flores ?
muyuq wayraqa manataqmi kanchu kay llaqtakunapiqa,el viento remolino no es común en estos pueblos
llink'i hallp´´utaq kuyuchisqa hallp´aqa paraqtinmi t'uruyapun,la tierra arcillosala removida se pone barrosa cuando llueve
machaq runakunaq wawankunaqa ruqru umakunan paqarinku,los hijos de las parejas alcohólicas nacen tontitos como marianito
"llapanmi imaynallapipas kasqan kanchis ,  ichaqa wañuy llapanchista suyawanchis",todos son iguales al menos de una manera: la muerte nos esperatodos
hukta qhawarinaypaqqa manañan reqsisqaykunaqa kasqachu,en un cerrarabrir de ojos ya no estaban mis compras
ch'inñeq wayq´opin atoq chitachata mikhurapusqa,en una quebrada silenciosa el zorro se lo había comido al corderito
juicio tukunankaman carcelpi kamunqa,mientras dure el juicio ella estará en la cárcel
paqarinmi chay mawk'a wasita thuñichisunchis,mañana derribaremos esa casa vieja
wakcha runakunataqa khuyapayaykunan,hay que tener compasión de la gente pobre
"hawataqa chirishanmi ,  kay ukhuman haykumuy",afuera está haciendo frío; entra aquí
"ama samasunchu ,  iphumullashanmi","no descansemos ,  esto solamente es una llovizna"
"hawlapi wisq´asqa kaspaqa mana sasachu khuyay kay ,  t´oqoq rakhu k´aspinta qhawaspa mana atichinchu wakin rikuyta","no es difícil ser tristeapático cuando se está encerrado en la cárcel ,  mirando las gruesas barras de hierro que interrumpen la vista por la ventana"
chhullimanta hampikunapaqqa sisa qesamanta unuchatan upyana,para curarse de la tos del resfriado es bueno tomarse mates de ortiga crespa
llakisqa kaqtiyqa yuyayniymi chinkarin,cuando tengo pena pierdo la memoria
"adobekunatan ruwasharani ,  paran hark'aruwan","estuve haciendo adobes ,  la lluvia nos ha entorpecido"
"munakusqay sonqochay ,  urpichay ,  panachay  ¿ hayk'aqmi hamunki ?","mi apreciado corazón ,  mi palomita ,  mi linda hermana ,   ¿ cuándo vendrás ?"
nishu llakisqalla kaqtinchisqa sonqonchismi sayarunman,por constantes preocupaciones podemos sufrir un infarto cardíaco
"ashkha ñawinchanaykichismi kashan ,  tutakamachá rikch´ankichis","tienen mucho que leer ,  estarán despiertos hasta tarde"
"qhopo wasakunataqa ninkun: llullakuyninkunatan q'epishan ,  nispan",a las personas jorobadas les dicen que cargan sus mentiras
chay kamachikuy qhellqata qespichiyta atisunmanmi,podemos apelar esa orden
¿ iman taytaykiq sutinqa ?  manapuni yuyanichu,¿ cómo se llama tu padre ?  la verdad es que no me acuerdo
"kuru papantaqa khuchipaq akllasunchis ,  ñut'untataq ch'uñupaq","escogeremos las papas agusanadas para los chanchoslas menudas ,  para el chuño"
achuqchataqa roqotutahina hunt'achispam wayk'unapas mikhunapas,las caiguas se preparanse comen rellenas como el rocoto
"panay papa allayta yanaparuway ,  chaypiña watyata mikhusunchis","hermanita ,  ayúdameescarbar mis papas; ahí comeremos huatia"
chay warmiqa ashkha qharikunawan puriqmi,esa mujer es quien anda con varios hombres
kuka raphitaqa ñawinta ama k'irispalla k'iptarqusunchis,arranquemos las hojas de la coca sin dañar las yemas
purun qowikunaqa montekunapin apurayllaman miran,los cuyes silvestres se reproducen muchísimo en los pastizales
tablakunata apurayllaman ruwasun wasi qatanapaq,preparemos tablas para techar la casa
q'ewisqa q'aytuqa apurayllamanmi p´itikun,el hilo muy torcido se rompe muy fácilmente
warmakunan wanqoyruq mishk'inta mikhusharanku,los niños estaban comiendo la miel del moscardón
ch´umpi sisi yana sisiwan maqanakushanku,la hormiga café esta peleando con la hormiga negra
chay warma waqashan,esa niña esta llorando
"payqa patanpi puriqllan kpaypaq kasqa , ítanaq q´oshñinhinallan kasqa",ella era solo una fase pasajera para él; significaba tanto como un humo de cigarrillo
llakipi kayqa aswan kallpatan wañuymanta munan,el sufrimiento requiere más coraje que la muerte
cheqaqmi mit´aq pasasqanmanhina ishkay runapi waylluyqa pisiyanmi,una de las piezas de evidencia más convincentes para el paso del tiempo es que el amor entre dos personas disminuyen
"khuyaqmi kani khuyayninpin kawsani ,  mana reqsisqahina ,  allinpinin ,  sumaqpunin","soy melancólica(o)me deleito en mi propia tristeza ,  como si fuera algo desconocido ,  especial ,  maravilloso"
nishu llakisqan kawsani,vivo muy afligido
paqochaqa chunka hukniyuq killamanta wachan,las alpacas parenlos once meses
wawqeykunaqa kinsan hinallataq kinsan panaykunapas,"mis hermanos son tres ,  mis hermanas también son tres"
haciendapi capatasconaqa llullakunan kasqaku,los capataces de las haciendas eran unos mentirosos
hatun huñunakuypiqa ishkay kanpunin q'aminakuq,en las grandes reuniones hay eventos en los que dos participantes se insultan mutuamente
surump'iwan hapisqa ñawiqa millaytan k'arakun,los ojos afectados por el surumpi arden insoportablemente
runaqa ch'uyan kawsanan ima huchachanamantapas hinallataq mana cheqnikuywan,la gente debe vivir limpia de toda culpasin odios
yuthuqa kinsa runtullantan churan,la perdiz solamente pone tres huevos
tukuy lawpipas rumiqa kanpunin,en cualquier lugar siempre hay piedras
chay rimarisqayraykun maqanarukun,por motivo de ese comentario se pelearon
¿ pitaq tasata p'akirun ?,¿ quién desportilló esa taza ?
wasipiqa nishu wallpakunan kashan,en la casa hay muchas gallinas
millayta wayrata mikhusqanchis qhepanman khasapakunchis,eructamos desagradablemente luego de comer ingiriendo aire
mamaymi kinsa watachayuqllamantaraq panachayta manaña ñuñuranñachu,mi mamá destetómi hermanita menor reciénlosaños
suwaqa llamatas rutushasqa .  .,dicen que el ladrón estaba trasquilando la llama…
sach'akunaqa q'omerllañan pukyukunaq kasqanpi wiñan,los árboles crecen muy verdes en los manantes
mana allin ch'irwasqa ch'uñuyuq chayruqa millay k'arku,el chairo con chuño mal lavadomal exprimido es agrio
ichhu wasitaqa ñañu k'aspikunallawanmi ruwakun,las casas de paja las hacemos con palos delgados
noqapaqqa manan imapas qhepasqachu,para mí no quedó nada
ishkaynin tapukuykunata kutichiy,escribe las respuestas de las dos preguntas
"sichus pipas llipsi nispa waqhasunki ,  yanqallamanta kallpayki ñawpaqman lloqsiyta chinkachinki","cuando alguien te llama débil ,  de repente pierdes fuerzaentusiasmo para continuar la lucha contra la adversidad"
"hampitan kallpayuq kanaypaq ukhiyarani ,  ichaqa manan imtapas yanapawanchu","conté con el medicamento para darme corajeautoconfianza ,  pero no ayudó en absoluto"
rimayniykikunata niy,argumenta tus ideas
qhelqay imayna rimayniykikunata,escribe tus argumentos
"ashkha runakuna kan ,  sapa kuti mana runahinachu kanku","hay másmás personas ,  que son cada vez menos humanas"
qan atoqman rikch'akunki,tú teatralizarás al zorro
allin yuyayniyuq runakunan khuyaypunin kay teqsimuyupi kashanku,personas verdaderamente geniales están condenadasuna gran tristeza en este mundo
"¡runa !  ¡mich´a hallp´a ,  manan pasaqpaqchu kanki !","¡hombre !  ¡miserable polvo ,  eres efímero !"
¿ mayqentaq allin akllakuy kanman ?,¿ cuál sería la mejor elección ?
"ñawita wisq´aymanmi ,  llapan imapas allinmi kashan niymanmi ,  ichaqa manapuni wisq´asqa ñawiwan kawsayta atikunmanchu","podía cerrar los ojos ,  fingir que todo está bien ,  pero es imposible vivir con los ojos cerrados"
kay sasachakuyta allinchay,resuelve el problema
"ch´usaq pampapi sapallan kashan ,  ashkha runapihina sapallan","está solitario en el desierto ,  igual de solitario como entre las personas"
manan imapas kanchu machuyahina sapalla,no hay nada más triste que la desolación provocada por la vejez
qori t'ika hat'un t'antata rakirparin,flor de oro dividió un pan grande
"hampiqkuna imaymanta ruwasqanku qhepaman ,  warmi medina wañupuran","después de los muchos esfuerzos del médico ,  murió la sra .  medina"
t'antaq chaninta qawariy,observa el precio del pan
k´irimanta waqakunmanmi ch´ulla kaypi manan hayk´aypas qhaliyanchu,uno solo puede llorar por las heridas que nunca se curan en la soledad
tullunkuna nanay imaymana ruwayta mana atichiranchu chaymi yanapayta muyuynipi tiyaqkunamanta chaskiran,el reumatismo que retorció sus articulaciones hizo imposible muchas actividades diariasle destinórecibir la ayuda de su entorno
"asikuy uyanmanta yanqalla chinkarapun ,  llakikiymantaq waykun","la diversión en su rostro desapareció repentinamente ,  reemplazada por preocupación"
payqa manan allin mamachu,ella no es una buena madre
payqa carcelpin kashan,él está en la cárcel
manan kay atipanakuypaqa amachaqtaqa munankichu,no necesita abogado para este juicio
manan wawakunawanqa yanapawanchu,no me ayuda con los niños
qolqeqa maynillanpin wañuymanta aysasunkiman,el dinero rara vez puede salvaralguien de la muerte
wañunakaman mana t´ikrakuymanchu ninin,consideró que no cambiaría hasta la muerte
teqsimuyu sumaq kaytaqa manan sasachu qonqay,es tan fácil olvidar lo maravilloso que es el mundo
"qhatuna wasipi suwakuypiqa ,  qolqe chaskiq pasaqtapuni p´anasqa kasqa chaymanta wañupuran","durante el robo de la tienda ,  el cajero fue brutalmente golpeadomurió"
"makinkurayku askha runakuna llallinakuranku ,  ichaqa pay qarquran kusikuyta ch´ulla kaypi mashkaspa","muchos hombres compitieron por su mano ,  pero ella los rechazó ,  buscando la felicidad en soledad"
"wañuyman waykuspa ,  runaqa ch´usaqpi kan ,  chaymanta rikch´arispa ,  manan imatapas yuyarinchu","cayendo en un coma ,  una persona se disuelve en la nada , después de que se despierta ,  generalmente no recuerda nada"
kawasayqa pisiyan k´anchayhina thantachanpas kanakapun,la vida se atenúa como una vela cuya mecha se ha quemado
"maman yana p´achawan churakusqa wañuqninta yuyarispa chayraykun ,  yvonn phishqa wata taytan wañusqan qhepaman paqariran","debido al luto de su madre ,  yvonne nacióaños después de la muerte de su padre"
kay onqoyqa llapan teqsimuyupin wañuyta apamun,esta enfermedad ha traido muerte en todo el mundo
¡akakallaw covid onqoywan wasi masiy wañurqapusqa !,¡qué pena mi vecino murió con la enfermedad de covid !
hampina wasipin ashkha runakuna wañunku,en el hospital han muerto muchas personas
huk wayna ishkay chunka watayuq motomanta urmaykusqa hinaspa wañupusqa,un joven de  años sufrió accidente en la motomurió
phishqa watayuq erqekuna ch´oqhumanta aswanta chiri mit´api wañunku,los niños deaños de la tos mueren más rapido en el invierno
sapa wata yapakun askha warmikunaq wañuyninku,cada año se incrementa la muerte de muchas mujeres
ñankunapi tiyaq alqokuna manan mikhunata tarinkuchu hinaspa tulluyaspa wañupunku,los perros callejeros no encuentran comida luego mueren desnutridos
runakuna manan mallkikunata tarpunkuchu chaymi pacha nishuta q´oñirishan,la personas no plantan árboles es uno de los factores por lo que hay el calentamiento
erqe mamanpa wañusqanmanta waqan,el niño llora porque su madre murió
huk wayna chakamanta wukchuyukusqa hinaspa wañupun,un joven se lanzó del puentemurió
mama churin mana wasinman kutimusqanmanta waqan,la madre llora porque su hijo no vuelvela casa
erqe anchata karru alqonta saruruqtin waqasqa,el niño lloró mucho porque el carro lo atropelló su perro
